Barely risk being arrested (wordplay),streak
Meat-testing letters,usda
Swamp goop,ooze
Children's game participant.,hider
Fill as with padding,stuff
Means of egress ,door
Big splash maker of the '60s,shamu
Critic as former pupil getting nothing from the French,humorists
Sweet and Lowdown actress Thurman,uma
The Daily Bruin is its newspaper,ucla
Get  Move on,a life
The Universe,macrocosm
Huckster's item. ,soap
Une baignade artist,seurat
Hit the ___ (fail) ,skids
"The hook, to a vaudeville stage manager (wordplay)",bit stop
Leading a severely simple life without worldly pleasures,as cetic
Pioneers,initiates
Thinly spread. ,sparse
"""Go away"" as often misattributed to Norman Tebbit",on your bike
Half the divorce settlement,hers
Action figure since,GiJoe
Exhausted after eating,inafoodcoma
All drink? Almost all,total
"Sound heard at the end of ""Bohemian Rhapsody""",gong
Stupid and then some,ddddddddddd
"Shopping on Amazon, for example",ecommerce
"Lying, for example",sin
"Freud's biggest problem potentially is self-critical Garda, for example, in the backend of Mayo",Superego
"Discuss one's toilet habits, for example",over share
Trumpeter's fanfare,tantara
1970 movie,love story
Eight furlongs,one mile
Cyberspeak abbreviation,FWIW
"One famously begins ""O Wild West Wind, thou breath of Autumn's being""",ode
A way to set,align
Half-moon happenings,neaptides
Photographed. ,took
I don't give ___!,a rip
"Cheech who sang ""Born in East L.A.""",Marin
"Alexander ___, Russian poet (1799-1837)",pushkin
Western law enforcement group,posse
Panel finding ice round poles over unlimited sea,console
"Fare beater, maybe",Stowaway
Nutty ice cream parlor order... and a hint to each set of circled letters,rocky road
Old keyboard in immaculate condition,virginal
"Alarm clock swallower in ""Peter Pan""",crocodile
War group,army
Shuts again ,recloses
Pat on the back or compliment,egobooster
Victor Hugo novel,Les Miserables
Holding together as a whole,coherent
"US interjection of surprise; middle name of film-maker Duncan Jones, David Bowie's son",zowie
Explorer and Escort,fords
Place in office. ,seat
Diversionary move.,Feint
"Primmer ""That sucks!""",Alas
Night garb for young 'uns,pjs
___ Nabisco (1980s corporation),rjr
"Table with dates, cold drink and odd bit of refreshment",calendar
"""Family Matters"" annoyer",urkel
Woman behind the throne ,ms chiefmaker
Words often found on coat of arms,motto
"Ensler of ""The Good Body""",Eve
Waters: Fr.,eaux
Heroine of a classic children's reader,Jane
Civil war president,as sad
Jim in the U.S. Olympic Hall of Fame,McKay
"""Brokeback Mountain"" actor",Quaid
Dumbo's home,NYC
"By ___!, exclamation of surprise",jove
"""Go easy""",begentle
Writings Abbreviation ,mss
Phoenician fertility deity,astarte
Poetic grief. ,dolor
"""And you ___?""",a re
Preliminary plan for training harbour guides (wordplay),pilot scheme
Miss Montanas accessory,tiara
Express starting in 2000,acela
It's wanted by the wanted,hide out
Sepulcher.,tomb
Avantgarde artist Max,weber
Chicken leg missing ___ not found in 4 at first,horn
Transmitting,sending out
Serving in an Italian restaurant,pasta
Lemieux's organization,NHL
Cheer in the corrida,Ole
Gathers together,meets
Session for a panel,Qanda
Deride Winnie? ,poohpoohpooh
Later at a luau,aloha
Irk,ire
Former French currency,franc
Wrote. ,penned
"""Where's Daddy?"" playwright",in ge
Rose's significant other,abie
Algonquin people,crees
___-shell crab,soft
___ there? (part of a knock-knock joke),whos
Steak topping,sauce
Plural of Mr,messrs
Triple ___ (papal wear),tiara
Vibrant hue,red
"1,000-mile Hunan river, into Tungting Lake.",Yuen
Constitutional,lawful
'The Death of the Heart' novelist,bowen
Many shops endlessly supplying tea,Chai
Zenith's opposite,Nadir
"Pleasantly zestful, as tea",brisk
It's sometimes burning,desire
Roly-poly,tub by
Roomy ride,sedan
Tells. ,lets on
Spice for grating,nutmeg
"Down for the proposed activity, in slang",about it
"Administer like high-fliers, including Conservative",inject
"Ft. ___ (former military base near Monterey, CA)",or d
Most gentle,softest
Looks at,observes
Advice to workers from the Seven Dwarfs. ,whistle
Crew boats,sculls
Stay (somewhere) temporarily,lodge
Back to the Cave singer Ford,Lita
I'm here!,Ciao
N. Y. lake resort ,Saranac
"Take a cue, in a way",shoot pool
Weed,hasheesh
"Runs into bacterium, say, on head of weak beer",microbrew
"Relative of ""padrone."" ",Maitre
Gardener's purchase,seeds
Low-budget series of British pictures admits gin cocktail is best enjoyed behind wifes back,carrying on
"That man, an Edward, got angry",heated
'It's Always Sunny in Philadelphia' co-creator McElhenney,rob
___ club (school singing group),Glee
With adversary going out for one little man,ron
Ancient Hebrew month,Aviv
"Nickname of the dictator who said ""I know the Haitian people because I am the Haitian people""",papadoc
___ cat (ball game),oneo
No spur for this poet,Samuel Cole
Balm for injury.,damages
You sold out of marinated Indian cutlets or what (wordplay),any tikkas
TVs with Judy,a date
Hebrew weights.,rebas
We'll just do it ___,ourselves
Mouldy-smelling,musty
Oscar night rental,gown
Congou or gunpowder.,tea
Notary Publics need,stamp
Application of practical science to commerce or industry,technology
Smart agent about to have a sleep,snappy
"John of ""Quiz Show""",Turturro
Tot's little piggy,to e
An eccentric,Odd Ball
Mixed drink (wordplay),Koolaid
See 19-Across,ounce
___ there's a will...,where
Spill a little (wordplay),hint
Dragoon,railroad
Govt. workers,t men
Gardener's gear ,rake
Reaction to a masterwork,a we
The financial centre of Venice,rial to
Initials important in Manhattan.,nyu
Girl swallows another white powder,magnesia
David's successor on the Supreme Court,sonia
Late singer Michael's nickname,Jacko
Not false,since re
That's bunk!,i disagree
Holy smokes!,my god
Container on the Biltmore Estate,v at
Crawl or swarm,teem
City in Kent. ,Dover
First word of a prayer.,hail
Where I Find My Heaven Gigolo ___,aunts
Et ___: footnote abbreviation,SEQ
Walker and Cooper,alices
It's fit for pigs,Sty
Speckless ,clean
Culinary utensils ,pots
South Park co-creator Stone,Matt
"City also known as the ""Portuguese Rome""",braga
"Struck, archaically",smit
"'That'll give you sound assistance (7,3)'",hearing aid
Turkey buzzard.,vulture
Last word of MGMs motto,art is
Branch of the armed forces.,AAF
Dolts.,oafs
Cockney language.,londonese
Zoo channel,moat
On whom clothes are,wearer
Shaper or fashioner.,framer
Love to be Popeye's girl,olive
"Believer in ""spirits.""",animist
Tops of tubes,caps
'Georgia on My Mind' composer,Hoagy Carmichael
Backup group for Gladys Knight,the pips
"One-named ""Viva Las Vegas"" actress",Ann Margret
Dig farther,deepen
Seeming to be unaffected by pleasure or pain,stoical
Seductress sees Dracula without anger,vamp
Accented syllable. ,stress
Administer beating with a kiss,smack
It wasn't built in a day ,rome
Univ. degrees ,bss
"House, in Juarez",Casa
Wanting fare suspended by railway,hungry
"Toughness shown by engineers, source of industry amid quiet",resilience
Is fervid Colloq. ,enthuses
Jedi High Council figure,MacE Windu
Lead weights.,sinkers
"'70s-'80s baseballer Ron ""The Penguin"" ___",cey
Lionesses (anagram),noiseless
Spin RITES (wordplay),rotate tires
Liner parts,decks
Foot: Comb. form.,ped
Jack of diamonds,Clark
Kismet.,destiny
Longtime host of PBS's 'Championship Ballroom Dancing',prowse
Part of a fore-and-aft rig. ,Gaff
Dorothy Lamour's trademark garment,sarong
"Germane, apropos",relevant
What he said,same
Film from a FitzGerald phrase ,sored the rose
She was abducted by Paris,Helen of Troy
___ plea ,copa
Cut from a whole,sever
The ___ Fellow,quare
Fashions of poetry by the thousand,modes
Gary Cooper movie,high noon
Port west of Haiphong,Hanoi
Pledged ,swore
___ among the gold.,silver threads
Start of an inventory quip,youcanthave
Containing less chroma ,paler
Determine the proficiency of,test
"Snug, like a miser",tight
Dies ___ (day of wrath): Latin.,Irae
"Puts back at 00:00, say",resets
Certain randomly lucky person,beginner
The Mediterranean. ,great sea
"Zeppelin, e.g",airship
Hunt of Mad About You,Helen
Loose refusal,Nocando
Gilded metallic ware,or molu
Big wheel at sea,helm
Free-throw target,Hoop
Sprinkles with flour. ,dredges
First words of Satisfaction,icant
Candidate for a boost,ego
Energetic sort,dynamo
'Citizen Kane' estate,xanadu
UK coffee-table magazine,realm
Dye worker,Stainer
Ray of GoodFellas,Liotta
Plebe's school,usma
Often-used missile. ,pie
Reveals,divulges
Avoided work selfishly,shirked
Eminent conductor,Maestro
Survey,questionnaire
Reminiscent of San Francisco,hilly
See 16-Across,Butler
Second photographed star,vega
"Do wrong, having bad intention",offend
Where oils may be produced,at elier
Spring up,grow
Shade found in Harvard Yard,Crimson
Musical interval at 8 roughly,octave
Seven of nine Justices,men
"""The Dukes of Hazzard"" offspring",enos
Parents' driveway hazard ,cycle
Do agenting (for),rep
Phony. ,sham
Newt in its terrestrial stage,EFT
"1975 Disney film, ___ Wild Pony",ride a
"Bulgarians, for example",slavs
Place for hope,chest
One of four on an elephant,knee
Accessory for an ambassador,sash
"Long, yearn",Hanker
Just for you letters,attn
Tumults,uproars
Part of U. S. A. F. ,force
Gridiron bomb,pass
Triton.,new t
Pitchers' motions ,windups
Crafty person,Fox
Potherb,lovage
Sculler's implement,oar
Zeenas husband in a  Edith Wharton novella,ethan
Morsel for Traveller,o at
Matter settling out in fluids,sediment
"Forth Rail express starts at York - train finally arriving, when not bound to be so (wordplay)",freeborn
Timber-hollowing tool,Adz
"If it's crushed, that'll soil it",ground
"Change the color, again",redye
Transaction,trade
Ghosts' car safety devices (wordplay),sheet belts
It is displayed when mien changes extremely threateningly,enmity
Having small lumps. ,no duled
Kinetoscope developer,edison
Bottom-line figures,net costs
Office,chair
Bother big time,bug
Summer hours abbreviation,dst
To get such a lousy speed you need salt,nitrate
"Flounder, for one",fish
A goddess writing one note after another,athene
Its state quarter has an astronaut on it,DDDD
"Adele and Cher, for example",altos
Chad village,adre
"America's favorite active pro athlete, per a 2012 ESPN poll",tebow
Whoda thunk,wowie
Chicago statue,Oscar
Casa ladies abbreviation,sr as
"Commander of Strategic Bombing, Northwest Africa.",doolittle
"Thick, in Tours ",dru
Toy designer Rubik,Erno
Drink spirits from small cups,noggins
"For this, Popeye was Kathryn Harris",puzzle of the year
Act without restraint. ,run riot
"""Sirenize"" ",allure
"Is paid, we hear, for making large amounts of tea",urns
"Squarish, as a car",boxy
Certain pop music fan of the 2010s,belieber
Arizona city where Linda Ronstadt was born,Tucson
Fame-ous Irene,car a
___ Fein (party of Ireland),Sinn
Popular name for a French poodle. ,fifi
"Slow the progress of, delay",retard
Callous bread piece (wordplay),heel
'Never look a . . . . . . . . . in the mouth',gift horse
Calyx part. ,sepal
More than happy,in seventh heaven
Motorists' organization,AAA
The girl sounded so jaunty with the boy,lilted
MacGraw in movies,Ali
Move through the mire,slog
Makes smart,hurts
Parisian couturier. ,dior
Uphill aid for skiers,tbar
Fills with horror,appalls
Emulate Betsy Ross till your fingers fall off,sew
Big Little Lies network,HBO
Uey from SSW,NNE
City in Ohio,Eaton
Some 'mixed' drinks...,smoothies
Bill who dropped out of Harvard in 1975,gates
Beethoven's Rhine-straddling birthplace,Bonn
Consume to survive,live on
"Massena, NY",St Lawrence
Streak left by blow of stick or whip,weal
Country dancing nice with lad,iceland
Cookie with a jokey November tweet showing itself in mashed potatoes,oreo
Skipping school,truant
...and ___ a good night! (Santa Claus send-off),to all
Book with Brazil and Bhutan,atlas
In reality ,actually
Sprung.,arisen
"A first edition of his ""Endymion"" sells for $17,500",John Keats
"Running by itself, and where the first words of 17-, 35-, 42- and 64-Across can be placed",on auto
Mope,brood
Honors with a party ,fetes
Dutchspeaking island in the Caribbean,aruba
Farmyard cock,rooster
"Words before ""miss""",hit or
Egyptian sacred cross,ankh
Fearless,daring
Patch up a road,retar
"'Bring home the bacon,' e.g",idiom
Anger Dial. ,Rile
Ranger's domain,forest
Gsharps equivalent,a flat
Short backless stool,tabouret
Scrum folk,rugby team
Your business is their business,snoops
Competition with rockets,space race
Greek L,Lambda
Armenia adjoiner,Iran
Former M.L.B. commisioner Bud,selig
Humbly accepts blame,eats dirt
Untidiness ,mess
Love,honey
"Injury in infancy, informally",Owie
Lure with regulation,rule
Presidential candidate of the 1990s,perot
Virgin's-bower.,clematis
'Hulk' star Eric,ban a
Captain's command,at ease
His Seventh Fleet is in Formosa Strait.,struble
'In Living Color' creator ___ Ivory Wayans,Keenen
Mythical V. I. P.,eros
One of many in a modern map,gene
Brick/pottery substance,clay
Nae-sayer,Scot
Roll-call response,yea
"Lana Turner's costar in ""Mr. Imperium""",Ezio Pinza
Vane heading,east
Bright aquarium addition,neontetra
Ginger snaps vessels,cookie jars
"'I love,' in Lille",Jaime
Difficult Times Saturday crossword,listener
Noted short story pen name,Saki
"Made with Tabasco sauce, say",zesty
Offering goods or services at less than standard rate,cut price
Impose.,Levy
Son has pluck exorcising a curse,scourge
TV's Spelling,to ri
Made-up names for a lassie,aliases
Block letters (wordplay),lego
Like ammonia's smell,a crid
*One who can adapt to any group dynamic,social chameleon
Amy's Golden Globes cohost,Tina
Salesman who dies nightly on B'way.,loman
.E? There's a pet!,do te
L-P content (wordplay),mno
What gets told by the southern Conservatives,stories
"Useless, conceited",vain
Mix a cocktail to revitalise people,shake up
Course lists,menus
1990 Hollywood autobiography subtitled 'My Story',ava
"Dump, in a way",sell
'The other white meat',pork
Yeas or nays,side
Small tower above a building,turret
"Invite, bring about",in cur
Lunch order,sandwich
Brings water to  degrees,boils
Barbra Streisand musical drama,yentl
Not physical,mental
Bare one on the beach,nudist
Unexciting place to live,flat
Good citizens.,patriots
Parisienne's peer,egale
"Translation of ""video"" ",i see
"Yul Brynner, for example ",baldhead
Cleric's degree ,bth
Poorly planned type of 20 across is similar to 15 across,ill timed
Like seven of Sophocles' 123 plays,extant
Beastly hanger-on wants everyone left to be inspired by genius,wall
A Swiss Army Knife has lots of them,uses
A French painter turned out better,nattier
Shoe width for Big Foot,EEE
Person's own being,self
Free in one's ways,unconventional
"""___ the ant, thou sluggard . . . "" ",goto
Surprisingly lauding LAX (wordplay),languid
Gulf on the Ionian ,Taranto
Whirls ,gyres
Madison was among them,framers
Purpose not so unceasing,endless
"Grateful Dead ""___ Your Face""",steal
"Living in different countries, say",a part
Words from a Sussex carol ,Glory Togodandpeacetomen
A king of Judah,as a
Salt attachment (wordplay),in e
"Long-run musical (with ""The""). ",Pajama game
"At times, M.D. is far from brightest",dimmest
Gem units,carats
Catch speech by boxer describing 5 down,sea dog
Shoe parts.,vamps
Bookkeeper's concern ,trial balance
"""Awesome!""",rad
It's concealed in the Far East zone,area
"Legal wrong, such as trespass.",tort
McGavin TV fantasy film: 1972,the nightstalker
First name in astrology,Jeane
Brief pause for rest,breather
Smug,content
Commode component,water tank
Writing paper like dunce's headgear,fools cap
Creature (American),critter
List of products,times table
Valiant Viking.,Eric
Predecessor of a pine,the trail of the lonesome
"___ and burn rubber (3,3,6)",pop the clutch
One way to sell beer. ,on tap
Urbane qualities,suavities
Tedious routines,ruts
2007-'14 E! comedy talk show host,Chelsea Handler
French author.,colette
It's tough to land on the ice,triple lutz
Ignition-related radio-noise reducer,suppressor
Women's rights ___ human rights,a re
Ensiled.,silaged
Welladay!,a lack
In excess of what is required,to spare
Petroleum source,oil well
Least good,worst
Navy-ship V.I.P.'s,xos
Monastics of yore,es senes
She acted with Caesar,coca
How I claim to be just a bit charged bit - that's what I want,ambition
"Aimed for the center of the fairway, maybe",drove
Dominoes.,bones
A year in ancient Rome (wordplay),annum
Chorus director's sounders,pitch pipes
Oprah's network,own
Fragile food,egg
"Fort ___, Fla.",myers
Demolish.,raze
*Medical pro whose patients might remain standing during surgery,veterinarian
Having no restrictions (2 words),wide open
"Mark in ""manana""",Til de
Enterprise record,log
Ucayali boundary. ,Uru Bamba
'SNL' alum Poehler,Amy
Understand number's wrong,figure out
Kennedy sight,SST
Saharan antelope,oryx
Moscow headgear,furhat
Home run Slang. ,swat
Take small bites from,nibble
Nice word for a speculator (wordplay),entrepreneur
Balkans person,slav
"Agreed to get marketing email, say",opted in
"Cuddly-looking ""bear""",Koala
Where spies leave info,drop
A restricted chicken (wordplay),cap on
Two under or one over,eagle
Phyllis's unseen husband,lars
"Turn around, as head of gang is an unknown quantity in front of judge",gyrate
Turn up with mother cat,puma
Material guy (and former president) (wordplay),linen bjohnson
Our Love Is ___ Stay (Gershwin standard): 2 wds.,here to
One held for money,hostage
Ruler who may be depicted with an ankh,pharaoh
Suffering similarly after a joint embarkation (wordplay),in the same boat
Novel by Baroness Orczy,thescarletpimpernel
Aulos relative,oboe
Timber-dressing tool,Adze
Some inadmissible testimony,hearsay
Water carrier,Din
Young whelp,LAD
Spine ,Ridge
Gradually Mus dir,apoco
Get lovey-dovey,Billand Coo
Hat tipper's word,maam
"Is Pa in? After a century, he is",aches
Hurdle for batsman ends with the French,problem
"Mouse, to a cat ",prey
Freedom from fretting,ease
Norse writing ,edda
Fabrics,sateens
Faced,turned to
Seder selections,Matzoth
New income below five hundred is diabolical,demonic
"It can be ordered ""avec gaz"" or ""sans gaz""",eau
The Odd Couple notably featured one,tv duo
Ballroom dance of Cuban origin,rumba
Tree.,cedar
Starts to buy evening paper on occasion,be times
Light-bending device,prism
"Twitter egg, once",troll
One way to bet,playpercentages
Circular road,Belt
Arms race abbreviation,sdi
Ohm or Solti,georg
Sculptor's subject,nude
A mans  should exceed his grasp Browning,reach
Family tree female,niece
Big palooka,lug
Place offering respite from old fool grabbing one,oasis
Way up or down.,stairs
Pawnbroker's place,hock shop
2- or 3-pointer,basket
Kin of cabbages,coles
Mascot with a big bill,to ucansam
"What Cheever called ""the triumph over chaos""",art
Hang loosely.,drape
Ungentlemanly guys,cads
Swedish rock band ,abba
"O,O, they're fired",rounds
Manhandle ,maul
"Smith recorded his song, accompanied by trumpets (wordplay)",elephant
Fat Duck cooks bees!,obese
Apples also known as leathercoats,russets
Wielding control,in the saddle
Pond growth ,algae
Condition of contract for a school period,term
Capital in sight of Kilimanjaro,tear
It may be fed into an Apple,data
Engine manifold adjective,in take
African insect.,tsetse
City N of Bonn,cologne
Like certain essays ,elian
Famous U.S. engineer ,Ferris
Proposed high dam. ,as wan
Infection caught during the past year (wordplay),stye
Letter after 'X',PSI
Longtime teammate of 12-Down,Kobe
Projected. ,stood out
Court figure abbreviation,at ty
Fantasy-baseball concern,waivers
Sleuth's cry,aha
Cowboy equipment.,riata
Waterfall ,cataract
"Say 'Do this,' 'Do that' ... blah, blah, blah",NAG
How Pamela is getting around with her father in South America,Pampas
See 41-Across,senate aide
"Boxing, to Pincay (wordplay)",sportofrings
Mechanic's advantage,manual dexterity
"Friday, for one abbreviation",Sgt
Longtime New York Post columnist Joey,Adams
Actress Jurado et al,katys
"Criminals' slang, for example",argot
Greek letters ,iotas
1995 Horse of the Year,cigar
Germanic invaders of the Roman Empire,goths
"University in Ithaca, New York",Cornell
Kilkenny kids,lads
"Makes interested, in a way",entices
Site of an annual Jalapeno Festival,Laredo
Declare assuredly,avow
Keep (something) for future use.,save it
Feverel's burden,or deal
One works hard to achieve something,aspirant
Business,establishment
Tabloid nickname for the King of Pop,Jacko
Giant-ass Chevy,tahoe
Little anteater of So. America.,Tamandu
Rapunzel feature,tress
They scatter 62 Across,sowers
Important name in missiles. ,convair
Harness-race horse,pacer
Sweet substance,Sirup
Enjoyed.,savored
Former weight allowance ,tret
Bijou.,Jewel
Supplicates ,entreats
The ___ Were,way we
Haydn masterwork,theseasons
Benefit. ,sake
Patrician. ,aristocrat
Filet steaks,Sir Loins
"Bother or ""trouble"" ending",some
Theatrical lover ,abie
Platoon I join as a matter of choice,optional
A name curtailed in performance making one speechless,taciturn
Land in a large body of water,isle
Where a movie reel is stored,film can
The Bird ___ the Wing,is on
Air pollutants ,soots
Chorus platforms,risers
One spreads unnecessary worry  or fear,alarmist
Architectural piers,antae
Jaguar cat in ground cover,carpet
Accident initials,EMS
"Entertained, as an idea ",harbored
Wine cask. ,Pipe
Touchy,Huffy
Listen and obey.,heed
Giggle in an IM,hee
"Black jack, half the time",spade
Hurricanes and typhoons,storms
Blew one's top,spouted
Adverts,heeds
"Verdict: is engaged in air support, getting elevated",diagnosis
"On the ball or ""off the grid""",idiom
Greek earth-goddess' self-introduction,Igaia
Oklahoma Senator and his family. ,kerrs
See 11 Down. ,utter
Woollen fabric with plaid design,tartan
Hoofprint of an antelope (wordplay),elandmark
Capable.,skilled
Senior group member,doyen
Jewelers purity unit,karat
"Fuse, in a way",arc weld
Pooh's rhyming pal,roo
Market,vend
The crusher,boa
"Pekoe, for one",tea
Take on.,adopt
Diminutive of a man's name.,gene
Thermoplastic polyamide,nylon
Veritable treasure ___,trove
"One, to 16, 34, or 58 Across",uno
Sets of twins ,pairs
An Oscar is mostly this,tin
Seismic source,epicenter
"Nightspot in a Manilow hit, for short",copa
Buck-naked,bare
Successors' spots,steads
"401, in 401",CDI
NY summer hours,EDT
"Major, as a highway",arterial
Yak.,gab
"___ in the air (Last line, spoken by Rita Moreno, of ""Carnal Knowledge"")",itsup
"Him, to Helene",lui
Awesome!,coolio
Emulated Esther Williams.,swam
Chart anew,remap
Cucumbers used as pickles,gherkins
Yule sound (wordplay),longu
Gets warmer on a search,nears
Where the judge sits,bench
More of a quote by Adlai E. Stevenson,woman you notice a
"Johnnie Cochran's judge, once",lanceito
Be found after being lost,turn up
"""It's down at the end of Lonely Street . . .""",Heartbreak Hotel
Hilary Swank film of '09,Amelia
Gamble or Robertson,Oscar
Fork,Wye
Confront with small account charge,ac cost
Meteorologist during a bad winter (wordplay),Paul Avortex
Hot Springs and Baden-Baden,spas
"Santa ___, song for Christmas.",natale
' -haw!' (cowboy cry),Yee
Goatish god,satyr
Public house fixture,loo
Add spice ,season
What ruminants chew on.,cuds
Fireside stack,logs
Longest-serving Dodger coach Manny,Mota
Song about daughter as woman,Lady
Certain Arab League member,Saudi
Vehicle for driving over sand,Dune Buggy
Central court/hall,a trium
Artichoke delicacy,hearts
The aim of equal education (wordplay),evening class
"Liberator of Thebes, 379 B.C.",pelopidas
Glowing.,a shine
Longtime Russian acronym,tass
"Make actor sing in part, playing for time",procrastinating
Union authorization,marriage license
Gondolas,barges
Petrarch's specialty.,sonnets
Be in charge,carry the ball
Half of dix ,cinq
"Budget-cutting procedure, figuratively",meatax
Bugs' banned banes ,DDTS
The main voice of Test Match Special,Agnew
___ Fatha Hines,Earl
Pattern of stripes ,Barre
Part of Asia Poet. ,ind
Pay TV,HBO
29 festival doesn't start,aster
Covered with hoarfrost.,rimed
Curse,evileye
Brand of hair lightener,sun in
Atlanta NHL team until 2011,rashers
Charity distribution,dole
Paraguayan tea,yerbademate
Kipling mongoose Rikki-Tikki-___,Tavi
Turning meas,rpm
Formal code of primitive army officer,protocol
First Bible bk,gen
"""This person has read your message"" (nonverbal)",seen
Young Fontaine role,eyre
Suntan lotion letters,spf
My name,Ted Kennedy
They're available in Pro and Mini versions,ipads
Treaty subject for short,ntest
Like a particular article for sure,definite
Fits together logically. ,dovetails
'___ Louse' (Burns poem),to a
Wonderland beast,Dodo
"Seal school""",pod
What a mean thing to think,intend
Expressed using digits,numeric
Declares off-limits,bans
"State, usually fine. ",fettle
"Antique dealer, at times",dater
Feels (like),seems
Not lucky; regrettable,unfortunate
Deli buy,sandwich
Gets better again,reheals
Pre-Columbian stoneworker,in ca
Stadium once used by the Mets,she a
Distributor of oxygenated blood,Aorta
How one might 35 across to go into reverse,lean backwards
Man of Allu,aleut
Run-down,Creaky
Medical residents,internes
Hollywood movers and shakers,agents
Insurance for a broadcast organization (wordplay),media coverage
Sampras or Townsend,pete
Gyp,Bilk
Kith's companion,kin
1974 Donald Sutherland/Elliott Gould movie,spys
"Croquet, for one",game
See 8,degree
Watch holder.,strap
Fauna and flora,nature
Freshwater tortoise,terrapin
The Omni is one,Arena
"7,926 miles, for Earth",diameter
Home of Gannon Univ.,eriepa
Key,cardinal
Gallery work. ,art
Bloodstream defenders,t cells
Small group of like-minded politicians,caucus
Bumper material,chrome
Mason ___ (candy often seen at movie snack bars),dots
D'Artagnan was one.,gascon
Who? Edgar Allan? That bird!,Hoopoe
In one's hometown,local
No go about the sea of old,remain
Ovid's muse,era to
Place for pepperoni,pizza
Sod breakers,plows
Alien's course,ESL
Got 'old of cab,ailed
Conductor Akira,ENDO
Two-wheelers,bicycles
A family insignia,coat of arms
C in history class,circa
"Wave, at Cannes",on de
The Lady___Tramp,is a
Somehow cut in across street ___ run for train,instruct
Lecherous ,lewd
Slangy of course,natch
Go home and go to bed!,turn in
Group concerned with curriculum,pta
President Bishara el Khoury's capital.,Beirut
Race in which competitors finish exactly even,dead heat
Unprecedented.,novel
Tool handle,Helve
Delicatessen smoked beef.,pastrami
Sound of bell,chime
Children's character associated with a crook,bopeep
Wearer of 9 in Yankee Stadium,Maris
Raid victims,pests
"Earring shape, often",tear drop
School that specializes in agriculture,Cow College
"Extended, with ""out""",poked
If it gets torn you've got to pay for it,rent
McGruff's spots abbreviation,psas
"Terhune's ""___ Dog""",Lada
"26, for Fe",at no
Pile-face fabric,Chenille
Stream ,Bourn
Kind of moment you might have when you see this puzzle's trick,aha
Lays waste.,devastates
Show place,theater
Criss-crossed part of road,box junction
"Robert Heinlein-coined word meaning ""to understand deeply""",grok
It's in the upright position during landings,tray
U. S. caverns ,Carlsbad
ABC phone key,two
Biologic factor. ,gene
"Had ""Mama Told Me Not to Come"" #1",threedognight
Heads of corn,ears
Is it one's wont to start with such a poor place (wordplay),shanty
"Oblivious to danger, maybe",unwarned
Onerous concern,onus
City on the Allegheny. ,Olean
Poor state on banks of rising river,needy
Wrapper Abbreviation ,env
Those vanquished by the Spanish head east as a precaution,in case
"O'Neill's ""The Iceman ___"" ",cometh
That was ___ dream... (R.E.M. lyric),just a
Philip Marlowe s creator,Raymond Chandler
Outstanding poem we hear recited,owed
Nightmarish street of filmdom,elm
"Squandered, as a golden opportunity",blew
Money in Madras. ,rupees
"Gerbils, e.g",rodents
Filming locale,lot
Wine initially served around lunchtime? That's the way things are,as it is
Wok alternative,skillet
Kutcher of 'That '70s Show',Ashton
"Site of the first organized kamikaze attacks, 1944",Leyte
Picky sort,fusser
Subject of Old Testament book.,levites
Ineffectual,of nouse
Supermarket lines,carts
200 fins,Gee
Gymnastic feats,somersaults
Mongols' tent,yurt
Hearty dish. ,stew
Westminster attraction,dog show
Revived an old film.,reran
Nat. with 353 Nobel Prizes,usa
Lotus eaters ,dreamers
Narrow escape,close call
Brunsdale or Foss.,Dakotan
Word processor command,print
Came clean ,admitted
Fairly good grade,BMINUS
Hailing cry,a hoy
San Quentin people,inmates
"Pac-12 member, e.g",univ
Chamber for Child,oven
Come through in a big game,Stepup
What all coaches prepare beforehand,winning strategy
Skeet shooting challenge (wordplay),steel pigeon
Barely maintaining with out,e king
___ romantic (wordplay),isnt it
Marvin Gaye's '___ Little Girl',imeta
Defendant's defense,its alie
Derby winner: 1954,determine
Deicing may delay them abbreviation,etds
L.A. superstar,one al
King Pope or Emperor,Pauli
"Bounces, in Scotland",stots
Manufactures,creates
Relatives of TV sets.,radios
In the can some are labeled as pink,salmon
One might make it green and number,integer
"One with plan to be kind, not out to be first",intender
Suit jacket fabric,tweed
Give new order to put inside evil thief,cut purse
Being cute with rare wiggles,creature
List for the forward-thinking,aims
Discourses. ,talks
Break away:  winners' extreme diet (wordplay),fast of champions
"One thousand, in the metric system.",Kilo
Piano or furnace part. ,damper
When light first appears,daybreak
Badminton need,bird
To keep you in the loop...,fyi
Work out,get in shape
Items of crockery,plates
Plural word increasingly used as a singular,them
Quite popular,in demand
Braxton of pop,Toni
Word-coining play,rur
Bear hand,paw
Start of an old army slogan,be all
It usually doesn't make headlines,the
Salks field,polio
Yachting centre,Marina
"Captain of the Ghost, in Jack London's ""The Sea Wolf""",Larsen
Risky undertaking,venture
Standing water.,mere
Not so strict,lax
White-barked tree,as pen
Made raids upon.,preyed
"Old Navy's parent company, with ""The""",gap
Fell underwater,sank
Durable finish for walls,stucco
What you don't want on your house,Lien
Cool place perhaps,shade
Runs in Morton Stadium set me mad,meets
Nigerian native (Var.),Ibo
Boy George and kin,odowds
Exceeded; invaded,overran
Depeche Mode did it in silence,fire
Bogdanovich movie,Daisy Miller
"607, in Rome",dcvii
